,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
6223,216 Seventh Avenue,,Raaz Specialty Indian Cuisine,ACE Management,Manhattan,1650,,,Chelsea,09/22/2009,Jeffrey Angel,"Darrell Rubens, D. Haray",Retail Leasing,11/01/2009,RES Commercial,Winick Realty Group,,,
6224,177 Dyckman Street,,GNC,,Manhattan,1627,,,Inwood,09/22/2009,"Mark Tergesen, Stephanie Greco","Jonathan Ratner, Lauren Kroncke",Retail Leasing,11/01/2009,"DSA Retail, Greco Sackeim Realty",Emmes Realty,,,
6225,41 Grove Street,,Thai restaurant,49 Grove Realty,Manhattan,1600,,,West Village,09/22/2009,,Laki Latinka Igrutinovic,Retail Leasing,11/01/2009,City Connections Realty,City Connections Realty,,,
6226,594 Columbus Avenue,,Lalu Deli & Grocery,Briarwood Corporation,Manhattan,1505,,,Upper West Side,09/22/2009,"Diana Boutross, Lee Block","Diana Boutross, Lee Block",Retail Leasing,11/01/2009,Winick Realty Group,Winick Realty Group,,,
6227,804 Madison Avenue,,Hervé Léger,Storepark,Manhattan,1500,,,Lenox Hill,09/22/2009,Candice Dobbs,Bruce Spiegel,Retail Leasing,11/01/2009,Dobbs Associates,Rose Associates,,,
6228,1246 Madison Avenue,,The Corner Café Restaurant,,Manhattan,1500,,,Carnegie Hill,09/22/2009,,,Retail Leasing,11/01/2009,,Douglas Elliman,,,
6229,790 Madison Avenue,,Duco Sales LLC,,Manhattan,1300,,,Lenox Hill,09/22/2009,,,Retail Leasing,11/01/2009,,Douglas Elliman,,,
6230,260 Elizabeth Street,,Babel Fair,,Manhattan,1200,,,Nolita,09/22/2009,Constance Byrne,"Faith Hope Consolo, Joseph Aquino",Retail Leasing,11/01/2009,New York Commercial Real Estate Services,Douglas Elliman,,,
6231,426 Second Avenue,,Royal Day Spa,,Manhattan,1100,,,Kips Bay,09/22/2009,"Kate Cohen, Craig Slosberg","Kate Cohen, Craig Slosberg",Retail Leasing,11/01/2009,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
6232,1386 Sixth Avenue,,Carnegie Digital Computers,Jeffries Morris,Manhattan,1095,,,Plaza District,09/22/2009,Joseph Isa,Joseph Isa,Retail Leasing,11/01/2009,Winick Realty Group,Winick Realty Group,,,
6233,6 Clinton Street,,D-Truck LLC,,Manhattan,1000,,,Lower East Side,09/22/2009,,,Retail Leasing,11/01/2009,Branded Concept Development,,,,
6234,70 Vanderbilt Avenue,,Kolache Mama,RHC Operating,Manhattan,900,,,Grand Central,09/22/2009,Jordan Cohn,"Jeffrey Roseman, Marc Frankel, Benjamin Birnbaum",Retail Leasing,11/01/2009,Northwest Atlantic Real Estate Services,Newmark Grubb Knight Frank,,,
6235,1667 First Avenue,,1667 First Gotham Pizza,,Manhattan,845,,,Yorkville,09/22/2009,Olga Ousmanova,Eli Someck,Retail Leasing,11/01/2009,CitySites Commercial Group,Living New York,,,
6236,1316 Madison Avenue,,Rosie Pop Maternity,Claremont Group,Manhattan,791,,,Carnegie Hill,09/22/2009,Bob Weber,Bob Weber,Retail Leasing,11/01/2009,Winick Realty Group,Winick Realty Group,,,
6237,159 Prince Street,,BK Belts,159 Prince Associates,Manhattan,650,,,Soho,09/22/2009,Phil Silverstein,Steve Rappaport,Retail Leasing,11/01/2009,NAI Global,Sinvin Real Estate,,,
6238,1 Union Square,,Subway,Malkin Properties,Manhattan,600,,,Flatiron,09/22/2009,Cosmo Montemurro,Cosmo Montemurro,Retail Leasing,11/01/2009,Winick Realty Group,Winick Realty Group,,,
6239,1035 Sixth Avenue,,Coup de Coeur,,Manhattan,500,,,Garment District,09/22/2009,,,Retail Leasing,11/01/2009,,Douglas Elliman,,,
6240,200 Church Street,,Mobilex,,Manhattan,460,,,Tribeca,09/22/2009,,Abe Sutton,Retail Leasing,11/01/2009,,GlenMark Realty,,,
6241,796 Ninth Avenue,,The Holey Cream,Noam Management,Manhattan,450,,,Midtown West,09/22/2009,,"Aaron Gavios, Howard Aaron",Retail Leasing,11/01/2009,,Square Foot Realty,,,
6242,1264 Madison Avenue,,Laila Florist,,Manhattan,400,,,Carnegie Hill,09/22/2009,Jay Gilbert,,Retail Leasing,11/01/2009,Newmark Grubb Knight Frank,Douglas Elliman,,,
6243,1034 Lexington Avenue,,Pretty Ballerina,,Manhattan,400,,,Upper East Side,09/22/2009,,,Retail Leasing,11/01/2009,,Douglas Elliman,,,
6244,227 Waverly Place,,O.H.W.O.W.,Page Management,Manhattan,225,,,West Village,09/22/2009,,Aaron Gavios,Retail Leasing,11/01/2009,,Square Foot Realty,,,
6245,41-61 Kissena Boulevard,,Duane Reade,Muss Development,Queens,11000,,,Flushing,09/17/2009,"Jeff Winick, Scott Weissman, Ann LaCentra","Jeff Winick, Shoshana Weissmann, Ann LaCentra",Retail Leasing,11/01/2009,,,,,
6246,3035 White Plains Road,,Key Food,,Bronx,11000,,,Olinville,09/17/2009,"Robin Herko, Steve Lorenzo, David Scotto",,Retail Leasing,11/01/2009,NAI Friedland Realty,,,,
6247,89-14 Parsons Boulevard,,King Polo Inc.,Dermot Company,Queens,10000,,,Jamaica,09/17/2009,Adam Caplan,"Matthew Mager, Elliott Dweck",Retail Leasing,11/01/2009,,Besen & Associates,,,
6248,5006 Avenue N,,Roberts Medical PC,Brooklyn Design Center LLC,Brooklyn,3900,,,Flatlands,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6249,581 Fifth Avenue,,Medical practice,581-583 Realty LLC,Brooklyn,3200,,,Sunset Park,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6250,2721 Bronxwood Avenue,,Verizon FIOS,,Bronx,2900,,,Allerton,09/17/2009,,"Robin Herko, Steve Lorenzo, David Scotto",Retail Leasing,11/01/2009,,NAI Friedland,,,
6251,76 Front Street,,Paloma Salomea Inc.,Two Trees Management,Brooklyn,2138,,,DUMBO,09/17/2009,Suzanne Schwimmer,Caroline Pardo,Retail Leasing,11/01/2009,,,,,
6252,6 East 170th Street,,Petland Disounts,,Bronx,2100,,,Mount Eden,09/17/2009,,Abe Sutton,Retail Leasing,11/01/2009,,Sutton Management,,,
6253,9717 Kings Highway,,H&R Block Eastern Enterprises,Midyan Gate Realty No. 3 LLC,Brooklyn,2000,,,East Flatbush,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6254,3850 Nostrand Avenue,,E&S USA Corporation,Nostrand Properties LLC,Brooklyn,1900,,,Sheepshead Bay,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6255,72 Front Street,,Journey,Two Trees Management,Brooklyn,1860,,,DUMBO,09/17/2009,,Caroline Pardo,Retail Leasing,11/01/2009,,,,,
6256,756 Myrtle Avenue,,H&R Block Eastern Enterprises,Chetrit Group,Brooklyn,1140,,,Bedford-Stuyvesant,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,Winick Realty Group,,,
6257,663 Classon Avenue,,,Classon Village LP,Brooklyn,1100,,,Crown Heights,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6258,2250 East Tremont Avenue,,Rockfort Jamerican Restaurant & Bakery,,Bronx,800,,,Parkchester,09/17/2009,"Robin Herko, Steve Lorenzo, David Scotto",,Retail Leasing,11/01/2009,NAI Friedland Realty,,,,
6259,1397 Fulton Street,,H&R Block Eastern Enterprises,,Brooklyn,750,,,Bedford-Stuyvesant,09/17/2009,,,Retail Leasing,11/01/2009,M.C. O'Brien,Urban Retail Realty,,,
6260,14 Jay Street,,I Am Privileged LLC,Two Trees Management,Brooklyn,700,,,DUMBO,09/17/2009,,Caroline Pardo,Retail Leasing,11/01/2009,,,,,
6261,95 Fulton Street,,Lot Less Closeouts,150 Williams Street LP,Manhattan,18000,,,Financial District,08/22/2009,"Charles Beyda, Judah Sutton",Naftali Braun,Retail Leasing,10/01/2009,JUD Leasing,Braun Management,,,
6262,2 Penn Plaza,,Riese Organization,Amtrak,Manhattan,12500,,,Penn Plaza,08/22/2009,Mark Stempel,,Retail Leasing,10/01/2009,Riese Organization,,,,
6263,222 East 34th Street,,CVS Pharmacy,,Manhattan,12000,,,Kips Bay,08/22/2009,"Jason Pruger, Robert Kaplan, Trevor Gallina","Jeffrey Roseman, Todd Maurer",Retail Leasing,10/01/2009,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
6264,1411 Broadway,,Chase,Blackstone Group,Manhattan,10000,,,Garment District,08/22/2009,"Jeff Winick, Hal Shapiro, Bob Weber",Jeff Winick,Retail Leasing,10/01/2009,Winick Realty Group,Winick Realty Group,,,
6265,1290 Sixth Avenue,,Duane Reade,Vornado Realty Trust,Manhattan,6000,,,Plaza District,08/22/2009,"Jeff Winick, Ann La Centra, Adrienne Shea","Jeff Winick, Ann La Centra, Adrienne Shea",Retail Leasing,10/01/2009,Winick Realty Group,Winick Realty Group,,,
6266,85 South Street,,Fetch NYC,,Manhattan,6000,,,Seaport,08/22/2009,,,Retail Leasing,10/01/2009,JDF Realty,JDF Realty,,,
6267,246 West 14th Street,,Nightclub,,Manhattan,4000,,,West Village,08/22/2009,,,Retail Leasing,10/01/2009,JDF Realty,,,,
6268,131 Sullivan Street,,Josh Picard,,Manhattan,3800,,,Soho,08/22/2009,JDF Realty,,Retail Leasing,10/01/2009,Evans Real Estate,Ardor Realty,,,
6269,41 East 20th Street,,Mari Vanna,41 East 20th Realty Corporation,Manhattan,3500,,,Flatiron,08/22/2009,"James Coleman, I. Mitskevitch, Peter Rogers",,Retail Leasing,10/01/2009,Bond New York,Site Realty,,,
6270,2320 Broadway,,Gamestop,,Manhattan,3000,,,Upper West Side,08/22/2009,,"Jeffrey Roseman, Todd Maurer",Retail Leasing,10/01/2009,RKF,Newmark Grubb Knight Frank,,,
6271,25 West 23rd Street,,Chock Full o'Nuts,DMI Associates,Manhattan,2800,,,Flatiron,08/22/2009,,John Serabian,Retail Leasing,10/01/2009,Branded Concept Development,MLBKaye International,,,
6272,2458 Broadway,,Big Daddy's Diner,Eagle Court,Manhattan,2750,,,Upper West Side,08/22/2009,"David Berke, Kenneth Hochhauser","Jeffrey Roseman, Stuart Morden",Retail Leasing,10/01/2009,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
6273,306 East 61st Street,,Liz O'Brien,,Manhattan,2400,,,Lenox Hill,08/22/2009,,,Retail Leasing,10/01/2009,,,,,
6274,119 Fulton Street,,Spring Sun Nail,Madison Realty Capital,Manhattan,2300,,,Financial District,08/22/2009,"Lee Block, Darrell Rubens, Joseph Isa","Lee Block, Darrell Rubens, Joseph Isa",Retail Leasing,10/01/2009,Winick Realty Group,Winick Realty Group,,,
6275,989 Third Avenue,,s.kuhlman,Arte,Manhattan,2300,,,Midtown East,08/22/2009,Robin Abrams,"Robin Abrams, Howard Dolch, Joseph Leinsdorf",Retail Leasing,10/01/2009,Peter Weisman Group,Lansco,,,
6276,139 West 14th Street,,Chelsea Bagels,Chelsea 139,Manhattan,2030,,,Chelsea,08/22/2009,Steve Rappaport,Steve Rappaport,Retail Leasing,10/01/2009,Sinvin Real Estate,Sinvin Real Estate,,,
6277,683 Madison Avenue,,Brunello Cucinelli,Spitzer Enterprises,Manhattan,1985,,,Lenox Hill,08/22/2009,Joel Isaacs,"James Downey, Eric Le Goff, Sarah Mohr",Retail Leasing,10/01/2009,Isaacs & Company,Cushman & Wakefield,,,
6278,354 Bowery,,Hecho en Dumbo,,Manhattan,1900,,,Noho,08/22/2009,Steve Rappaport,Alan Shmaruck,Retail Leasing,10/01/2009,Sinvin Real Estate,Manhattes Group,,,
6279,412 West Broadway,,Sobral,412 West Broadway,Manhattan,1750,,,Soho,08/22/2009,Doug Rice,"Sarah Mohr, Eric Le Goff",Retail Leasing,10/01/2009,Rice & Associates,Cushman & Wakefield,,,
6280,641 Sixth Avenue,,Home Sweet Home,Capital Management,Manhattan,1700,,,Chelsea,08/22/2009,"Ariel Schuster, Brandon Eisenman","Ariel Schuster, Brandon Eisenman",Retail Leasing,10/01/2009,RKF,RKF,,,
6281,85 Avenue A,,Cafetasia,,Manhattan,1600,,,East Village,08/22/2009,,,Retail Leasing,10/01/2009,JDF Realty,JDF Realty,,,
6282,39 West 14th Street,,Sprint,Comjem Associates,Manhattan,1600,,,Flatiron,08/22/2009,Cosmo Montemurro,Cosmo Montemurro,Retail Leasing,10/01/2009,Winick Realty Group,Winick Realty Group,,,
6283,145 Hudson Street,,Siberian Living,Sugar Ray Properties,Manhattan,1600,,,Tribeca,08/22/2009,"Roxanne Betesh, Magnolia Martin","Roxanne Betesh, Magnolia Martin",Retail Leasing,10/01/2009,Sinvin Real Estate,Sinvin Real Estate,,,
6284,2466 Broadway,,Portrait Bug,,Manhattan,1577,,,Upper West Side,08/22/2009,Lewis Kaye,Lewis Kaye,Retail Leasing,10/01/2009,L.B. Kaye International Realty,L.B. Kaye International Realty,,,
6285,66 Pearl Street,,Fika Espresso and Chocolate Bar,Bernstein Real Estate,Manhattan,1500,,,Financial District,08/22/2009,Andrew Hawkins,,Retail Leasing,10/01/2009,Cornerstone Real Estate Advisers,In-house,,,
6286,277 Water Street,,Manhattan Plant Exchange,,Manhattan,1400,,,Seaport,08/22/2009,,,Retail Leasing,10/01/2009,JDF Realty,JDF Realty,,,
6287,220 Avenue B,,Paws and Relax,,Manhattan,1300,,,East Village,08/22/2009,,,Retail Leasing,10/01/2009,JDF Realty,JDF Realty,,,
6288,1522 First Avenue,,Blossom Vegan Restaurant & Café,,Manhattan,1150,,,Yorkville,08/22/2009,Eli Someck,Jonathan Bakhash,Retail Leasing,10/01/2009,Living New York,Living New York,,,
6289,155 West 19th Street,,Center for Holistic Health and Wellness,,Manhattan,1000,,,Chelsea,08/22/2009,Elisabeth Mohlmann,"Neal Ohm, Amanda O'Callaghan",Retail Leasing,10/01/2009,Elegran LLC,CitySites Commercial Group,,,
6290,1279 First Avenue,,Patsy's Pizzeria,,Manhattan,1000,,,Lenox Hill,08/22/2009,"Neal Ohm, Amanda O'Callaghan","Neal Ohm, Amanda O'Callaghan",Retail Leasing,10/01/2009,CitySites Commercial Group,CitySites Commercial Group,,,
6291,820 Madison Avenue,,Baby CZ,Duell,Manhattan,1000,,,Lenox Hill,08/22/2009,Sarah Shannon,,Retail Leasing,10/01/2009,Sinvin Real Estate,In-house,,,
6292,339 West Broadway,,Mayfair NYC,West Broadway Glass Company,Manhattan,860,,,Soho,08/22/2009,Zsolt Bene,"Michael Glanzberg, Christopher Owles",Retail Leasing,10/01/2009,Anchor Associates,Sinvin Real Estate,,,
6293,1667 First Avenue,,Gotham Pizza,,Manhattan,845,,,Yorkville,08/22/2009,"Olga Ousmanova, Gui Tepedino","Jon Bakhash, Eli Someck",Retail Leasing,10/01/2009,CitySites Commercial Group,Living New York,,,
6294,325 West 16th Street,,Chisholm Gallery,West 16th Street Tenants Corporation,Manhattan,700,,,Chelsea,08/22/2009,"Sondra Rappaport, Alex Baumol","Sondra Rappaport, Alex Baumol",Retail Leasing,10/01/2009,Sinvin Real Estate,Sinvin Real Estate,,,
6295,93 East 7th Street,,Holden Seafood Corporation,Video Storyboard Test,Manhattan,575,,,East Village,08/22/2009,Kathleen Perkins,"M. Hamilton, S. Sigg",Retail Leasing,10/01/2009,New York Commercial Real Estate Services,ARPOLE,,,
6296,30 Rockefeller Plaza,,E-Shave,Tishman Speyer,Manhattan,549,,,Plaza District,08/22/2009,"Steven Baker, Zachary Fox",,Retail Leasing,10/01/2009,Winick Realty Group,In-house,,,
6297,784 Madison Avenue,,L'Etoile Royale Fine Jewelry,,Manhattan,527,,,Lenox Hill,08/22/2009,,,Retail Leasing,10/01/2009,Douglas Elliman,Corcoran Group,,,
6298,1225 Madison Avenue,,Christopher Fischer Cashmere,47-88 Tenants Corporation,Manhattan,500,,,Carnegie Hill,08/22/2009,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,10/01/2009,Douglas Elliman,Douglas Elliman,,,
6299,2464 Broadway,,MLC,,Manhattan,500,,,Upper West Side,08/22/2009,,Lewis Kaye,Retail Leasing,10/01/2009,,L.B. Kaye International Realty,,,
6300,780 Madison Avenue,,Paul DuMont Estate Jewelry,,Manhattan,450,,,Lenox Hill,08/22/2009,"Gary Dana, Rick Dana","Gary Dana, Rick Dana",Retail Leasing,10/01/2009,Douglas Elliman,Douglas Elliman,,,
6301,1062 First Avenue,,Perfect Brows,David Frankel Realty,Manhattan,450,,,Midtown East,08/22/2009,Hal Shapiro,Hal Shapiro,Retail Leasing,10/01/2009,Winick Realty Group,Winick Realty Group,,,
6302,3885 Broadway,,Dry cleaners,Vantage Properties,Manhattan,431,,,Washington Heights,08/22/2009,,Howard Aaron,Retail Leasing,10/01/2009,,Square Foot Realty,,,
6303,50 Fulton Street,,EasyCoffee,,Manhattan,400,,,Financial District,08/22/2009,Barry Williams,Charles Gingler,Retail Leasing,10/01/2009,Branded Concept Development,David M. Baldwin Realty Company,,,
6304,227 Waverly Place,,Our House West of Wynwood,Page Management,Manhattan,225,,,West Village,08/22/2009,Brad Belmont,Aaron Gavios,Retail Leasing,10/01/2009,Square Foot Realty,Square Foot Realty,,,
6305,106 Ridge Street,,Pharmacy,,Manhattan,,,,Lower East Side,08/22/2009,James Famularo,,Retail Leasing,10/01/2009,New York Commercial Real Estate Services,,,,
6306,1630 East 15th Street,,Olive Gourmet,Kingswood Partners,Brooklyn,26000,,,Sheepshead Bay,08/17/2009,Gary Mayzlin,"Robert Klein, Grant Dolgin",Retail Leasing,10/01/2009,,,,,
6307,89-14 Parsons Boulevard,,Associated Food Stores,Dermot Company,Queens,13313,,,Jamaica,08/17/2009,,,Retail Leasing,10/01/2009,,Besen & Associates,,,
6308,6118 190th Street,,Preschool of America,,Queens,12500,,,Fresh Meadows,08/17/2009,,,Retail Leasing,10/01/2009,JDF Realty,JDF Realty,,,
6309,1104 Avenue J,,TD Bank,1351 Corp. Inc.,Brooklyn,4200,,,Midwood,08/17/2009,Richard Senior,,Retail Leasing,10/01/2009,,First Development Corp.,,,
6310,163 Plymouth Street,,Bose Pacia Gallery,Two Trees Management,Brooklyn,1386,,,DUMBO,08/17/2009,,"Z. Mass, Natalie Ungari",Retail Leasing,10/01/2009,,Two Trees Management,,,
6311,2250 East Tremont Avenue,,Rockfort Jamaican Restaurant,Parkchester North Condominiums,Bronx,800,,,Parkchester,08/17/2009,,"Robin Herko, Steve Lorenzo, David Scotto",Retail Leasing,10/01/2009,,NAI Friedland,,,
6312,449 Seventh Avenue,,Homebody Boutique,,Brooklyn,450,,,South Slope,08/17/2009,,Jennifer Rhodes,Retail Leasing,10/01/2009,,,,,
6313,276 Prospect Park West,,Anorco,,Brooklyn,300,,,Windsor Terrace,08/17/2009,,Brad Einhorn,Retail Leasing,10/01/2009,,,,,
6314,100 West 33rd Street,,JCPenney,Vornado Realty Trust,Manhattan,153000,,,Penn Plaza,07/23/2009,,,Retail Leasing,09/01/2009,,In-house,,,
6315,610 Sixth Avenue,,Old Navy,"Estate of Sol Goldman, Lillian Goldman Marital Trust",Manhattan,64000,,,Flatiron,07/23/2009,"Ariel Schuster, Izzy Anthony",,Retail Leasing,09/01/2009,RKF,In-house,,,
6316,60 East 14th Street,,Nordstrom Rack,Related Companies,Manhattan,32136,,,Greenwich Village,07/23/2009,,,Retail Leasing,09/01/2009,,,,,
6317,1961 Broadway,,Raymour & Flanigan,Millennium Partners,Manhattan,30000,,,Lincoln Square,07/23/2009,,Gene Spiegelman,Retail Leasing,09/01/2009,,Cushman & Wakefield,,,
6318,260 Madison Avenue,,Duane Reade,,Manhattan,8100,,,Garment District,07/23/2009,"Jeff Winick, Ann La Centra, Adrienne Shea","Jeff Winick, Ann La Centra, Adrienne Shea",Retail Leasing,09/01/2009,Winick Realty Group,Winick Realty Group,,,
6319,1944 First Avenue,,,Metro North Owners,Manhattan,6259,,,East Harlem,07/23/2009,Gene Schwimmer (independent broker),"Jonathan Gordon, C.J. Rockett",Retail Leasing,09/01/2009,,Admiral Real Estate,,,
6320,224 West 57th Street,,TD Bank,M1 Real Estate,Manhattan,4662,,,Midtown West,07/23/2009,Joanne Podell,Robert Sass,Retail Leasing,09/01/2009,Ripco Real Estate,FirstService Williams,,,
6321,160 Riverside Boulevard,,160 Restaurant Concepts,Equity Residential Management,Manhattan,3500,,,Lincoln Square,07/23/2009,Craig Slosberg,"Craig Slosberg, Kenneth Hochhauser,",Retail Leasing,09/01/2009,Winick Realty Group,Newmark Grubb Knight Frank,,,
6322,301 West 125th Street,,Ricky's,Saab Management,Manhattan,3500,,,West Harlem,07/23/2009,Adam Stupak,Scott Auster,Retail Leasing,09/01/2009,Winick Realty Group,Ripco Real Estate,,,
6323,668 Sixth Avenue,,Famous Famiglia,C Realty Corporation,Manhattan,3000,,,Flatiron,07/23/2009,,Robert Kunikoff,Retail Leasing,09/01/2009,,Grubb & Ellis,,,
6324,142 Eighth Avenue,,Ricky's,Grand Chelsea Condominium,Manhattan,2600,,,Chelsea,07/23/2009,Adam Stupak,Rafe Evans,Retail Leasing,09/01/2009,Winick Realty Group,Walker Malloy & Company,,,
6325,1318 Madison Avenue,,Buck House,,Manhattan,2500,,,Carnegie Hill,07/23/2009,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,09/01/2009,Douglas Elliman,Douglas Elliman,,,
6326,35 West 36th Street,,Ciel de Juno,Hidrock Realty,Manhattan,2200,,,Garment District,07/23/2009,"Adam Stupak, K. Block",Robert Kaplan,Retail Leasing,09/01/2009,Winick Realty Group,Hidrock Realty,,,
6327,335 East 86th Street,,Excel Hair Salon,Kroy Associates,Manhattan,2200,,,Yorkville,07/23/2009,Gene Schwimmer (independent broker),Rafe Evans,Retail Leasing,09/01/2009,,Walker Malloy & Company,,,
6328,300 East 52nd Street,,Barros Luco,,Manhattan,1950,,,Midtown East,07/23/2009,"Mary No, Chris Guzzello","Mary No, Chris Guzzello",Retail Leasing,09/01/2009,ARPOLE,ARPOLE,,,
6329,586 Columbus Avenue,,Worldwide Salon,Briarwood Properties,Manhattan,1386,,,Upper West Side,07/23/2009,"Lee Block, Diana Boutross","Lee Block, Diana Boutross",Retail Leasing,09/01/2009,Winick Realty Group,Winick Realty Group,,,
6330,1425 Second Avenue,,Liberty Travel,World Wide Group,Manhattan,1200,,,Lenox Hill,07/23/2009,,Gene Meer,Retail Leasing,09/01/2009,,NAI Friedland Realty,,,
6331,1121 First Avenue,,Stylish Nail and Spa,Sirkin Realty Corporation,Manhattan,800,,,Lenox Hill,07/23/2009,"Cosmo Montemurro, Joshua Singer","Jason Pruger, Robert Kaplan",Retail Leasing,09/01/2009,Winick Realty Group,Newmark Grubb Knight Frank,,,
6332,106 Greenwich Avenue,,AC Gears,Sky Management,Manhattan,700,,,West Village,07/23/2009,Max Lu,,Retail Leasing,09/01/2009,M Properties Group,In-house,,,
6333,1752 Second Avenue,,K&W Siu LLC,1752 Second Avenue,Manhattan,650,,,Yorkville,07/23/2009,,Joshua Salon,Retail Leasing,09/01/2009,,Salon Realty,,,
6334,29 West 21st Street,,United Cleaners,,Manhattan,500,,,Flatiron,07/23/2009,Jen Kim,Jen Kim,Retail Leasing,09/01/2009,ARPOLE,ARPOLE,,,
6335,1133 Broadway,,Marigold Circle LLC,Kew Management,Manhattan,435,,,Flatiron,07/23/2009,Max Vizgalin,"James Preston, Leeat Hacker",Retail Leasing,09/01/2009,Own Manhattan,Kew Management,,,
6336,7 East 14th Street,,Baked by Melissa,Rockrose Development,Manhattan,400,,,Flatiron,07/23/2009,Ryan Abramow,,Retail Leasing,09/01/2009,Northwest Atlantic Real Estate Services,In-house,,,
6337,1133 Broadway,,N&E Salon,Kew Management,Manhattan,391,,,Flatiron,07/23/2009,Max Vizgalin,"James Preston, Leeat Hacker",Retail Leasing,09/01/2009,Own Manhattan,Kew Management,,,
6338,1038 Lexington Avenue,,Lemonade,Winter Organization,Manhattan,300,,,Upper East Side,07/23/2009,Robert Draizen,"Ariel Schuster, Izzy Anthony",Retail Leasing,09/01/2009,RKF,RKF,,,
6339,One Union Square South,,Nordstrom Rack,Related Companies,Manhattan,32136,,,Greenwich Village,07/18/2009,,,Retail Leasing,09/01/2009,,,,,
6340,950 Westchester Avenue,,Brightside Academy,Capital Retail Developers,Bronx,10000,,,Longwood,07/18/2009,,Kathy Zamechansky,Retail Leasing,09/01/2009,,KZA Realty Group,,,
6341,58 East Fordham Road,,Duane Reade,,Bronx,8100,,,University Heights,07/18/2009,"Jeff Winick, Ann LaCentra","Jeff Winick, Ann LaCentra",Retail Leasing,09/01/2009,,,,,
6342,110-112 East Fordham Road,,Cee & Cee,Sidley Holding Corp.,Bronx,4796,,,University Heights,07/18/2009,Steven Weissmann,Steven Weissmann,Retail Leasing,09/01/2009,,,,,
6343,1950 Fulton Street,,SCK Realty LLC,51-02 Allen St. Corp.,Brooklyn,4200,,,Bedford-Stuyvesant,07/18/2009,,,Retail Leasing,09/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6344,228 48th Street,,LV Technologies,,Brooklyn,3000,,,Sunset Park,07/18/2009,,Brad Einhorn,Retail Leasing,09/01/2009,Ideal Properties Group,,,,
6345,2721 Bronxwood Avenue,,Verizon,,Bronx,2900,,,Allerton,07/18/2009,,"Robin Herko, Steve Lorenzo, David Scotto",Retail Leasing,09/01/2009,,NAI Friedland,,,
6346,298 Bond Street,,Sculptured Flame Inc.,,Brooklyn,2400,,,Gowanus,07/18/2009,Maria Sartori-Spencer,Maria Sartori-Spencer,Retail Leasing,09/01/2009,,,,,
6347,895 Fulton Street,,Chance 11,,Brooklyn,2000,,,Fort Greene,07/18/2009,,Shalhevet Deutch,Retail Leasing,09/01/2009,Ideal Properties Group,,,,
6348,2115 Nostrand Avenue,,First Brooklyn Burgers,Ruscio Family,Brooklyn,2000,,,Flatbush,07/18/2009,,,Retail Leasing,09/01/2009,M.C. O'Brien,M.C. O'Brien,,,
6349,543 Third Avenue,,,,Brooklyn,1800,,,Gowanus,07/18/2009,,Martine Shandles,Retail Leasing,09/01/2009,Ideal Properties Group,,,,
6350,125 Court Street,,Dream Nail & Spa,Two Trees Management,Brooklyn,725,,,Cobble Hill,07/18/2009,,Caroline Pardo,Retail Leasing,09/01/2009,,,,,
6351,20 Joralemon Street,,Saleh Hamdan,,Brooklyn,700,,,Brooklyn Heights,07/18/2009,Marisa Almeida,Davit Mneyan,Retail Leasing,09/01/2009,,,,,
6352,382 West Broadway,,Art Photo Expo Gallery of Miami,382 West Broadway,Manhattan,7900,,,Soho,06/22/2009,"Daniel Alesandro, Lasia Casil","Daniel Alesandro, Lasia Casil",Retail Leasing,08/01/2009,Sinvin Real Estate,Sinvin Real Estate,,,
6353,237 West 35th Street,,Butterrick Fabrics,,Manhattan,6148,,,Garment District,06/22/2009,John Schiliro,"Grant Greenspan, Michael Kaufman",Retail Leasing,08/01/2009,Kaufman Organization,Kaufman Organization,,,
6354,2367 Frederick Douglass Boulevard,,Technoform,,Manhattan,5000,,,West Harlem,06/22/2009,David Sabghir,Max Lu,Retail Leasing,08/01/2009,Commercial Properties Realty,M Properties Group,,,
6355,80 Carmine Street,,Ricky's,,Manhattan,4000,,,West Village,06/22/2009,Adam Stupak,Adam Stupak,Retail Leasing,08/01/2009,Winick Realty Group,Winick Realty Group,,,
